Projeto,Ano,Tipo,Autor,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto
5485.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita limpeza de bueiros e bocas de lobo, nos pontos de ônibus situado na Avenida Barão do Rio Branco, no Centro.",Arquivada,REQ,46189,09/07/2013
5484.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita junto a Settra providências para impedir o estacionamento e parada irregular na rua Santo Antônio, no Centro.",Arquivada,REQ,46188,09/07/2013
5483.0,2013.0,Requerimento,Ana Rossignoli,"Solicita colocação de gradio, na frente da Escola Cosette de Alencar.",Arquivada,REQ,46122,09/07/2013
5482.0,2013.0,Requerimento,Ana Rossignoli,"Solicita mudança da passagem de pedestre da rua Cícero Tristão, no bairro Santa Catarina.",Arquivada,REQ,46121,09/07/2013
5481.0,2013.0,Requerimento,Wanderson Castelar,"Solicita tapar uma cratera na rua Sueny Sarconi, no bairro Monte Castelo.",Arquivada,REQ,45919,09/07/2013
5480.0,2013.0,Requerimento,Júlio Gasparette,Solicita iluminação publica na passagem de nível entre as ruas Rui Barbosa com Rafael Zacarias.,Arquivada,REQ,45699,09/07/2013
5479.0,2013.0,Requerimento,Júlio Gasparette,"Solicita estudo para implantação de mão única nas ruas A e B, no bairro Retiro.",Arquivada,REQ,45698,09/07/2013
5478.0,2013.0,Requerimento,Júlio Gasparette,"Solicita operação tapa buraco ma rua C, no bairro Parque Bela Vista.",Arquivada,REQ,45697,09/07/2013
5477.0,2013.0,Requerimento,Júlio Gasparette,"Solicita retirada de terra na rua Décio Ganabarino, no bairro Aeroporto.",Arquivada,REQ,45696,09/07/2013
5476.0,2013.0,Requerimento,Júlio Gasparette,"Solicita estudo para implantação de redutor de velocidade na rua Baturité, no bairro Monte Castelo.",Arquivada,REQ,45695,09/07/2013
5475.0,2013.0,Requerimento,Júlio Gasparette,Solicita capina e limpeza no Posto Médico do bairro Teixeiras.,Arquivada,REQ,45694,09/07/2013
5474.0,2013.0,Requerimento,Júlio Gasparette,"Solicita pintura de sinalização horizontal, no bairro Retiro.",Arquivada,REQ,45693,09/07/2013
5473.0,2013.0,Requerimento,Júlio Gasparette,"Solicita colocação de placa com o nome da rua Maria de Almeida Silva, no bairro Teixeiras.",Arquivada,REQ,45691,09/07/2013
5472.0,2013.0,Requerimento,Júlio Gasparette,"Solicita estudo para implantação de redutor de velocidade nas ruas Sérgio Barbosa, Walfrido Machado de Mendonça e Irmã Emereciano, no bairro Retiro.",Arquivada,REQ,45688,09/07/2013
5471.0,2013.0,Requerimento,Júlio Gasparette,"Solicita pintura da sinalização horizontal, no bairro Vila Ideal.",Arquivada,REQ,45687,09/07/2013
5470.0,2013.0,Requerimento,Noraldino Júnior,"Solicita visita da Vigilância Sanitária na Ong Amigos do Trem, na rua Salvador Notaroberto, no bairro Francisco Bernardino.",Arquivada,REQ,46024,09/07/2013
5469.0,2013.0,Requerimento,Noraldino Júnior,"Solicita visita do DEMLURB na Ong Amigos do Trem, na rua Salvador Notaroberto, no bairro Francisco Bernardino.",Em Tramitação,REQ,46023,09/07/2013
5468.0,2013.0,Requerimento,Noraldino Júnior,"Solicita quebra-molas na rua Domingos Lopes, no bairro Nossa Senhora das Graças.",Arquivada,REQ,46022,09/07/2013
5467.0,2013.0,Requerimento,Noraldino Júnior,Solicita limpeza e capina das ruas do bairro Cidade do Sol.,Arquivada,REQ,46021,09/07/2013
5466.0,2013.0,Requerimento,Noraldino Júnior,"Solicita canalização de esgoto na rua Jovino Ribeiro, no bairro Bairú.",Arquivada,REQ,46020,09/07/2013
5465.0,2013.0,Requerimento,Noraldino Júnior,"Solicita canalização de córrego, grade no bueiro e recapeamento asfáltico, na rua Carlos Martins, no bairro Jardim Cachoeira.",Arquivada,REQ,46019,09/07/2013
5464.0,2013.0,Requerimento,Noraldino Júnior,Solicita operação tapa buraco nas ruas do bairro da Cidade do Sol.,Arquivada,REQ,46018,09/07/2013
